"game_id","cover_path","trailer_url","screenshot_1","screenshot_2","screenshot_3","screenshot_4","screenshot_5"
1078,"game_media\covers\1078.jpg","https://www.youtube.com/watch?v=lU_NKNZljoQ","game_media\screenshots\1078_1.jpg","game_media\screenshots\1078_2.jpg","game_media\screenshots\1078_3.jpg","game_media\screenshots\1078_4.jpg","game_media\screenshots\1078_5.jpg"
1079,"game_media\covers\1079.jpg","https://www.youtube.com/watch?v=l-x-1fm2cq8","game_media\screenshots\1079_1.jpg","game_media\screenshots\1079_2.jpg","game_media\screenshots\1079_3.jpg","game_media\screenshots\1079_4.jpg","game_media\screenshots\1079_5.jpg"
1080,"game_media\covers\1080.jpg","https://www.youtube.com/watch?v=lTjRZ__-278","game_media\screenshots\1080_1.jpg","game_media\screenshots\1080_2.jpg","game_media\screenshots\1080_3.jpg","game_media\screenshots\1080_4.jpg","game_media\screenshots\1080_5.jpg"
1081,"game_media\covers\1081.jpg","https://www.youtube.com/watch?v=BbIfOya35f0","game_media\screenshots\1081_1.jpg","game_media\screenshots\1081_2.jpg","game_media\screenshots\1081_3.jpg","game_media\screenshots\1081_4.jpg","game_media\screenshots\1081_5.jpg"
1082,"game_media\covers\1082.jpg","https://www.youtube.com/watch?v=dU-aq2JbLkk","game_media\screenshots\1082_1.jpg","game_media\screenshots\1082_2.jpg","game_media\screenshots\1082_3.jpg","game_media\screenshots\1082_4.jpg","game_media\screenshots\1082_5.jpg"
1083,"game_media\covers\1083.jpg","https://www.youtube.com/watch?v=32LDc_66r5U","game_media\screenshots\1083_1.jpg","game_media\screenshots\1083_2.jpg","game_media\screenshots\1083_3.jpg","game_media\screenshots\1083_4.jpg","game_media\screenshots\1083_5.jpg"
1084,"game_media\covers\1084.jpg","https://www.youtube.com/watch?v=h1l8c5ZllNc","game_media\screenshots\1084_1.jpg","game_media\screenshots\1084_2.jpg","game_media\screenshots\1084_3.jpg","game_media\screenshots\1084_4.jpg","game_media\screenshots\1084_5.jpg"
1085,"game_media\covers\1085.jpg","https://www.youtube.com/watch?v=VeIn3WjbVbw","game_media\screenshots\1085_1.jpg","game_media\screenshots\1085_2.jpg","game_media\screenshots\1085_3.jpg","game_media\screenshots\1085_4.jpg","game_media\screenshots\1085_5.jpg"
1086,"game_media\covers\1086.jpg","https://www.youtube.com/watch?v=fBJ0ifVtK5c","game_media\screenshots\1086_1.jpg","game_media\screenshots\1086_2.jpg","game_media\screenshots\1086_3.jpg","game_media\screenshots\1086_4.jpg","game_media\screenshots\1086_5.jpg"
1087,"game_media\covers\1087.jpg","https://www.youtube.com/watch?v=4lEfl_OebvQ","game_media\screenshots\1087_1.jpg","game_media\screenshots\1087_2.jpg","game_media\screenshots\1087_3.jpg","game_media\screenshots\1087_4.jpg","game_media\screenshots\1087_5.jpg"
